,image_paths,latex_labels
0,../images/1.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
1,../images/3.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
2,../images/5.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
3,../images/7.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
4,../images/9.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
5,../images/11.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
6,../images/13.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
7,../images/15.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
8,../images/17.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
9,../images/19.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
10,../images/21.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
11,../images/23.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
12,../images/25.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
13,../images/27.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
14,../images/29.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
15,../images/31.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
16,../images/32.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
17,../images/33.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
18,../images/34.png,S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2
19,../images/35.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
20,../images/36.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
21,../images/37.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
22,../images/38.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
23,../images/39.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
24,../images/40.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
25,../images/41.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
26,../images/42.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
27,../images/43.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
28,../images/44.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
29,../images/45.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
30,../images/46.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
31,../images/47.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
32,../images/48.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
33,../images/49.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
34,../images/50.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
35,../images/51.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
36,../images/52.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
37,../images/53.png,\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
38,../images/54.png,y^4 + y + 1 = 0
39,../images/55.png,y^4 + y + 1 = 0
40,../images/56.png,y^4 + y + 1 = 0
41,../images/57.png,y^4 + y + 1 = 0
42,../images/58.png,y^4 + y + 1 = 0
43,../images/59.png,y^4 + y + 1 = 0
44,../images/60.png,y^4 + y + 1 = 0
45,../images/61.png,y^4 + y + 1 = 0
46,../images/62.png,y^4 + y + 1 = 0
47,../images/63.png,y^4 + y + 1 = 0
48,../images/64.png,y^4 + y + 1 = 0
49,../images/65.png,y^4 + y + 1 = 0
50,../images/66.png,y^4 + y + 1 = 0
51,../images/67.png,y^4 + y + 1 = 0
52,../images/68.png,y^4 + y + 1 = 0
53,../images/69.png,y^4 + y + 1 = 0
54,../images/70.png,y^4 + y + 1 = 0
55,../images/71.png,y^4 + y + 1 = 0
56,../images/72.png,a^2 + b^2 = (a+bi)(a-bi)
57,../images/73.png,a^2 + b^2 = (a+bi)(a-bi)
58,../images/74.png,a^2 + b^2 = (a+bi)(a-bi)
59,../images/75.png,a^2 + b^2 = (a+bi)(a-bi)
60,../images/76.png,a^2 + b^2 = (a+bi)(a-bi)
61,../images/77.png,a^2 + b^2 = (a+bi)(a-bi)
62,../images/78.png,a^2 + b^2 = (a+bi)(a-bi)
63,../images/79.png,a^2 + b^2 = (a+bi)(a-bi)
64,../images/80.png,a^2 + b^2 = (a+bi)(a-bi)
65,../images/81.png,a^2 + b^2 = (a+bi)(a-bi)
66,../images/82.png,a^2 + b^2 = (a+bi)(a-bi)
67,../images/83.png,a^2 + b^2 = (a+bi)(a-bi)
68,../images/84.png,a^2 + b^2 = (a+bi)(a-bi)
69,../images/85.png,a^2 + b^2 = (a+bi)(a-bi)
70,../images/86.png,a^2 + b^2 = (a+bi)(a-bi)
71,../images/87.png,a^2 + b^2 = (a+bi)(a-bi)
72,../images/88.png,a^2 + b^2 = (a+bi)(a-bi)
73,../images/89.png,a^2 + b^2 = (a+bi)(a-bi)
74,../images/90.png,a^xa^y = a^{x+y}
75,../images/91.png,a^xa^y = a^{x+y}
76,../images/92.png,a^xa^y = a^{x+y}
77,../images/93.png,a^xa^y = a^{x+y}
78,../images/94.png,a^xa^y = a^{x+y}
79,../images/95.png,a^xa^y = a^{x+y}
80,../images/96.png,a^xa^y = a^{x+y}
81,../images/97.png,a^xa^y = a^{x+y}
82,../images/98.png,a^xa^y = a^{x+y}
83,../images/99.png,a^xa^y = a^{x+y}
84,../images/100.png,a^xa^y = a^{x+y}
85,../images/101.png,a^xa^y = a^{x+y}
86,../images/102.png,a^xa^y = a^{x+y}
87,../images/103.png,a^xa^y = a^{x+y}
88,../images/104.png,a^xa^y = a^{x+y}
89,../images/105.png,a^xa^y = a^{x+y}
90,../images/106.png,a^xa^y = a^{x+y}
91,../images/107.png,a^xa^y = a^{x+y}
92,../images/108.png,a^xa^y = a^{x+y}
93,../images/109.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
94,../images/110.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
95,../images/111.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
96,../images/112.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
97,../images/113.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
98,../images/114.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
99,../images/115.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
100,../images/116.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
101,../images/117.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
102,../images/118.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
103,../images/119.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
104,../images/120.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
105,../images/121.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
106,../images/122.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
107,../images/123.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
108,../images/124.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
109,../images/125.png,\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
110,../images/126.png,\Delta H_I
111,../images/127.png,M \in S
112,../images/128.png,\sigma \in X
113,../images/129.png,T \in E
114,../images/130.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
115,../images/131.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
116,../images/132.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
117,../images/133.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
118,../images/134.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
119,../images/135.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
120,../images/136.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
121,../images/137.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
122,../images/138.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
123,../images/139.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
124,../images/140.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
125,../images/141.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
126,../images/142.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
127,../images/143.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
128,../images/144.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
129,../images/145.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
130,../images/146.png,\frac{1}{\frac{1}{2}( \frac{1}{a} + \frac{1}{b})} = \frac{2ab}{a+b}
131,../images/147.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
132,../images/148.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
133,../images/149.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
134,../images/150.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
135,../images/151.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
136,../images/152.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
137,../images/153.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
138,../images/154.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
139,../images/155.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
140,../images/156.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
141,../images/157.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
142,../images/158.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
143,../images/159.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
144,../images/160.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
145,../images/161.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
146,../images/162.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
147,../images/163.png,\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
148,../images/164.png,x = \frac{-b \pm \sqrt{b^2 -4ac}}{2a}
149,../images/165.png,x = \frac{-b \pm \sqrt{b^2 -4ac}}{2a}
150,../images/166.png,x = \frac{-b \pm \sqrt{b^2 -4ac}}{2a}
151,../images/167.png,x = \frac{-b \pm \sqrt{b^2 -4ac}}{2a}
152,../images/168.png,x = \frac{-b \pm \sqrt{b^2 -4ac}}{2a}
153,../images/169.png,x = \frac{-b \pm \sqrt{b^2 -4ac}}{2a}
