,encoded,original,regenerated
0,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
1,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
2,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
3,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
4,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
5,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
6,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
7,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
8,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
9,"[ 47 115 120  30 118 117  83 115 101 116 114 117  78 116   8 118  83 112
 120  78 112 100 119  32 119  74 114 100]",S = ( \sum_{i=1}^{n} \theta_i - (n-2)\pi )r^2, S = ( \sum _ { i = 1 } ^ { n } \theta _ i - ( n - 2 ) \pi ) r ^ 2
