,encoded,original,regenerated
0,[26 53 61 42 93 43 48 25 53 61 42 93 43 50 60], \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1 , \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1
1,[63 63], 44 , 4 4
2,[44 60 45],  [ 1  ] , [ 1 ]
3,[83],  n  , n
4,[42 73 43],  (  d   ) , ( d )
5,[94],  y  , y
6,[79],  j  , j
7,[ 40  49  40  81 115  41  41], { - {  l   T  } } , { - { l T } }
8,[ 40  40  49 101  41  49  40 101  41  53  40  93  41  41], { { - F } - { F } ^ { x } } , { { - F } - { F } ^ { x } }
9,[ 17  40  68  63  51  66  41  40  40 120  77  41  41], \frac { 94.7 } { {  Y  h } } , \frac { 9 4 . 7 } { { Y h } }
10,[100],  E  , E
11,[113], R , R
12,[ 89 114],  tS  , t S
13,[ 40  42  40  97  41  52  40 100  41  43  41  53  40  79  41], {  ( {  B  } _ {  E  }  ) } ^ {  j  } , { ( { B } _ { E } ) } ^ { j }
14,[ 40  78  41  52  40  40  74  41  52  40 117  41  41], {  i  } _ { { e } _ {  V  } } , { i } _ { { e } _ { V } }
15,[31 52 69 53 36 25 42 17 40 15 41 40 61 41 43 73 15], \int _0 ^ \pi \cos  ( \frac { \theta } { 2 }  ) d \theta , \int _ 0 ^ \pi \cos ( \frac { \theta } { 2 } ) d \theta
16,[ 40 114  78  96  41  52  40  16  41], {  SiA  } _ { \sigma } , { S i A } _ { \sigma }
17,[ 40  49  31  52  40  95  41  53  40  79  41  83  73 119  41], { - \int _ { z } ^ { j } n dX } , { - \int _ { z } ^ { j } n d X }
18,[40 79 46  6 42 83 43 41], {  j  < \lambda  ( n  ) } , { j < \lambda ( n ) }
19,[104],  I  , I
20,[ 17  40  40 113  48  78  41  41  40  44  79  45  41], \frac { { R +  i  } } {  [ j  ] } , \frac { { R + i } } { [ j ] }
21,[27 77], \tan  h  , \tan h
22,[18 40 60 48 18 40 60 48 95 53 61 41 41], \sqrt { 1 + \sqrt { 1 + z ^ 2 } } , \sqrt { 1 + \sqrt { 1 + z ^ 2 } }
23,[81 42 77 43],  l   (  h   ) , l ( h )
24,[76],  g  , g
25,[ 40  49 114  41], { -  S  } , { - S }
26,"[ 40  40  49  40 100  41  52  40  86  41  41  49  40   9  48  40 111 100
  41  41  41]", { { - {  E  } _ {  q  } } - { \ldots + {  P   E  } } } , { { - { E } _ { q } } - { \ldots + { P E } } }
27,[62 51 61], 3.2 , 3 . 2
28,[70 48 18 40 17 40 71 48 72 41 40 73 48 75 41 41], a + \sqrt { \frac { b + c } { d + f } } , a + \sqrt { \frac { b + c } { d + f } }
29,[37], \mu , \mu
30,[ 40 119  89  41], {  X  t } , { X t }
31,[78], i , i
32,[40 97 41 53 40 40 97 48 63 41 41], { B } ^ { {  B  + 4 } } , { B } ^ { { B + 4 } }
33,[44 30 40 93 41 45],  [ \sum {  x  }  ] , [ \sum { x } ]
34,[74 79],  ej  , e j
35,[ 40  80  41  52  40 104  41], {  k  } _ {  I  } , { k } _ { I }
36,[40 49 40 60 66 41 41], { - { 1 7 } } , { - { 1 7 } }
37,[40 90 41 52 40 96 41], {  u  } _ {  A  } , { u } _ { A }
38,[31 40 88 41 52 40 16 41 73 95], \int {  s  } _ { \sigma } dz , \int { s } _ { \sigma } d z
39,[89 76],  tg  , t g
40,[28 64], \log 5 , \log 5
41,[40 40 49 30 40 77 41 41 48 40 93 67 51 67 41 41], { { - \sum {  h  } } + { x 8.8 } } , { { - \sum { h } } + { x 8 . 8 } }
42,[18 40 40 26 37 48 84 41 41], \sqrt { { \sin \mu +  o  } } , \sqrt { { \sin \mu + o } }
43,[62 60], 31 , 3 1
44,[117], V , V
45,[40 77 48 40 91 78 41 41], {  h  + { v i } } , { h + { v i } }
46,[68], 9 , 9
47,[ 17  40  73  41  40  40  87  41  53  40 119  41  41], \frac {  d  } { {  r  } ^ { X } } , \frac { d } { { r } ^ { X } }
48,[86], q , q
49,[44 65 45],  [ 6  ] , [ 6 ]
50,[ 40 119  49  75  41], { X - f } , { X - f }
51,[40 49 89 41], { -  t  } , { - t }
52,[69 61], 02 , 0 2
53,[70 72],  ac  , a c
54,[70 53 93 48 71 53 93 48 17 40 72 41 40 61 41], a ^ x + b ^ x + \frac { c } { 2 } , a ^ x + b ^ x + \frac { c } { 2 }
55,[40 49 44 18 40 90 41 45 41], { -  [ \sqrt {  u  }  ] } , { - [ \sqrt { u } ] }
56,[40 40 95 41 53 40 14 41 37 41], { {  z  } ^ { \Delta } \mu } , { { z } ^ { \Delta } \mu }
57,[63 67 65 61], 4862 , 4 8 6 2
58,[40 40 94 49 66 41 24 61 41], { { y - 7 } \geq 2 } , { { y - 7 } \geq 2 }
59,"[ 40  49  40 103  40  18  40  40  76  49  42  76  43  41  41  41  53  40
 111  41  41  41]", { - {  H  { \sqrt { {  g  -  ( g  ) } } } ^ { P } } } , { - { H { \sqrt { { g - ( g ) } } } ^ { P } } }
60,[ 40  60  48 107  41], { 1 +  L  } , { 1 + L }
61,[18 40 18 40 94 41 41], \sqrt { \sqrt { y } } , \sqrt { \sqrt { y } }
62,[93 53 61 48 94 53 61 50 95 53 61], x ^ 2 + y ^ 2 = z ^ 2 , x ^ 2 + y ^ 2 = z ^ 2
63,[77],  h  , h
64,[66 66], 77 , 7 7
65,[30 40 83 41], \sum {  n  } , \sum { n }
66,[17 40 78 41 40 70 41], \frac { i } {  a  } , \frac { i } { a }
67,[ 40  89  41  52  40 119  41], { t } _ {  X  } , { t } _ { X }
68,[120], Y , Y
69,[ 40  40  74  41  52  40 102  41  41  53  40  30  40  77  41  41], { {  e  } _ {  G  } } ^ { \sum { h } } , { { e } _ { G } } ^ { \sum { h } }
70,[40 30 40 79 41 49 75 41], { \sum { j } -  f  } , { \sum { j } - f }
71,[67 51 65], 8.6 , 8 . 6
72,[ 42 114  43],  ( S  ) , ( S )
73,[40 61 51 68 76 41], { 2.9 g } , { 2 . 9 g }
74,[78], i , i
75,[113],  R  , R
76,[40 88 48 42 78 43 41], {  s  +  ( i  ) } , { s + ( i ) }
77,[69], 0 , 0
78,[107], L , L
79,[79],  j  , j
80,[ 40  90  48  40  90  49 117  41  41], {  u  + {  u  - V } } , { u + { u - V } }
81,[66 51 64], 7.5 , 7 . 5
82,[ 42 107  43],  (  L   ) , ( L )
83,[62 51 60], 3.1 , 3 . 1
84,[ 30  52  40  40 103  50  88  41  41  53  40  83  41  40  63  64  41], \sum _ { {  H  = s } } ^ { n } { 45 } , \sum _ { { H = s } } ^ { n } { 4 5 }
85,[64 51 68], 5.9 , 5 . 9
86,[ 40  92  70  23  30  40 114  41  41], {  wa  \leq \sum {  S  } } , { w a \leq \sum { S } }
87,[ 17  40  88  41  40  31  68  73 109  41], \frac {  s  } { \int 9 dN } , \frac { s } { \int 9 d N }
88,[31 74 53 40 49 95 53 61 41 73 95 50 74 87 75 42 95 43], \int e ^ { - z ^ 2 } d z =  erf   ( z  ) , \int e ^ { - z ^ 2 } d z = e r f ( z )
89,[70 48 17 40 18 40 71 48 72 41 41 40 61 41], a + \frac { \sqrt { b + c } } { 2 } , a + \frac { \sqrt { b + c } } { 2 }
90,[31 74 53 40 93 53 61 41 93 53 62 73 93], \int e ^ { x ^ 2 } x ^ 3 d x , \int e ^ { x ^ 2 } x ^ 3 d x
