,image_paths,latex_labels
0,images/00001.png, \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1 
1,images/00002.png, 44 
2,images/00003.png,  [ 1  ] 
3,images/00004.png,  n  
4,images/00005.png,  (  d   ) 
5,images/00006.png,  y  
6,images/00007.png,  j  
7,images/00008.png, { - {  l   T  } } 
8,images/00009.png, { { - F } - { F } ^ { x } } 
9,images/00010.png, \frac { 94.7 } { {  Y  h } } 
10,images/00011.png,  E  
11,images/00012.png, R 
12,images/00013.png,  tS  
13,images/00014.png, {  ( {  B  } _ {  E  }  ) } ^ {  j  } 
14,images/00015.png, {  i  } _ { { e } _ {  V  } } 
15,images/00016.png, \int _0 ^ \pi \cos  ( \frac { \theta } { 2 }  ) d \theta 
16,images/00017.png, {  SiA  } _ { \sigma } 
17,images/00018.png, { - \int _ { z } ^ { j } n dX } 
18,images/00019.png, {  j  < \lambda  ( n  ) } 
19,images/00020.png,  I  
20,images/00021.png, \frac { { R +  i  } } {  [ j  ] } 
21,images/00022.png, \tan  h  
22,images/00023.png, \sqrt { 1 + \sqrt { 1 + z ^ 2 } } 
23,images/00024.png,  l   (  h   ) 
24,images/00025.png,  g  
25,images/00026.png, { -  S  } 
26,images/00027.png, { { - {  E  } _ {  q  } } - { \ldots + {  P   E  } } } 
27,images/00028.png, 3.2 
28,images/00029.png, a + \sqrt { \frac { b + c } { d + f } } 
29,images/00030.png, \mu 
30,images/00031.png, {  X  t } 
31,images/00032.png, i 
32,images/00033.png, { B } ^ { {  B  + 4 } } 
33,images/00034.png,  [ \sum {  x  }  ] 
34,images/00035.png,  ej  
35,images/00036.png, {  k  } _ {  I  } 
36,images/00037.png, { - { 1 7 } } 
37,images/00038.png, {  u  } _ {  A  } 
38,images/00039.png, \int {  s  } _ { \sigma } dz 
39,images/00040.png,  tg  
40,images/00041.png, \log 5 
41,images/00042.png, { { - \sum {  h  } } + { x 8.8 } } 
42,images/00043.png, \sqrt { { \sin \mu +  o  } } 
43,images/00044.png, 31 
44,images/00045.png, V 
45,images/00046.png, {  h  + { v i } } 
46,images/00047.png, 9 
47,images/00048.png, \frac {  d  } { {  r  } ^ { X } } 
48,images/00049.png, q 
49,images/00050.png,  [ 6  ] 
50,images/00051.png, { X - f } 
51,images/00052.png, { -  t  } 
52,images/00053.png, 02 
53,images/00054.png,  ac  
54,images/00055.png, a ^ x + b ^ x + \frac { c } { 2 } 
55,images/00056.png, { -  [ \sqrt {  u  }  ] } 
56,images/00057.png, { {  z  } ^ { \Delta } \mu } 
57,images/00058.png, 4862 
58,images/00059.png, { { y - 7 } \geq 2 } 
59,images/00060.png, { - {  H  { \sqrt { {  g  -  ( g  ) } } } ^ { P } } } 
60,images/00061.png, { 1 +  L  } 
61,images/00062.png, \sqrt { \sqrt { y } } 
62,images/00063.png, x ^ 2 + y ^ 2 = z ^ 2 
63,images/00064.png,  h  
64,images/00065.png, 77 
65,images/00066.png, \sum {  n  } 
66,images/00067.png, \frac { i } {  a  } 
67,images/00068.png, { t } _ {  X  } 
68,images/00069.png, Y 
69,images/00070.png, { {  e  } _ {  G  } } ^ { \sum { h } } 
70,images/00071.png, { \sum { j } -  f  } 
71,images/00072.png, 8.6 
72,images/00073.png,  ( S  ) 
73,images/00074.png, { 2.9 g } 
74,images/00075.png, i 
75,images/00076.png,  R  
76,images/00077.png, {  s  +  ( i  ) } 
77,images/00078.png, 0 
78,images/00079.png, L 
79,images/00080.png,  j  
80,images/00081.png, {  u  + {  u  - V } } 
81,images/00082.png, 7.5 
82,images/00083.png,  (  L   ) 
83,images/00084.png, 3.1 
84,images/00085.png, \sum _ { {  H  = s } } ^ { n } { 45 } 
85,images/00086.png, 5.9 
86,images/00087.png, {  wa  \leq \sum {  S  } } 
87,images/00088.png, \frac {  s  } { \int 9 dN } 
